Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
995,6104859,47,12,single,rented,yes,Surgeon,Phagwara,Punjab,12,11,0
1001,8367934,39,0,married,norent_noown,no,Comedian,Panipat,Haryana,0,12,0
1002,5639809,75,0,single,rented,no,Drafter,Dehradun,Uttarakhand,0,10,0
1014,8200302,36,13,single,owned,no,Librarian,Shimla,Himachal_Pradesh,5,11,0
1019,1538951,73,9,single,rented,yes,Geologist,Panchkula,Haryana,9,10,1
1022,8369359,49,7,single,rented,yes,Police_officer,Haridwar,Uttarakhand,7,13,0
1076,532746,78,18,married,rented,yes,Petroleum_Engineer,Haridwar,Uttarakhand,10,12,0
1092,599470,53,17,single,rented,no,Flight_attendant,Srinagar,Jammu_and_Kashmir,3,13,0
1103,8036025,23,8,single,rented,no,Consultant,Shimla,Himachal_Pradesh,4,14,1
1115,7656726,79,9,single,rented,yes,Industrial_Engineer,Ambala,Haryana,6,12,0
1126,7585042,53,15,single,rented,no,Official,Rohtak,Haryana,3,13,0
1159,6765574,21,7,single,rented,yes,Comedian,Shimla,Himachal_Pradesh,5,12,0
1218,826478,33,15,single,rented,no,Drafter,Ludhiana,Punjab,13,11,1
1222,3929663,50,5,single,rented,no,Mechanical_engineer,Shimla,Himachal_Pradesh,5,12,0
1224,2858930,40,8,single,rented,no,Flight_attendant,Srinagar,Jammu_and_Kashmir,8,13,0
1257,2301024,51,11,single,rented,yes,Financial_Analyst,Haridwar,Uttarakhand,7,11,1
1259,6474294,48,9,single,rented,no,Comedian,Amritsar,Punjab,8,13,0
1293,5314421,46,14,single,rented,no,Flight_attendant,Jalandhar,Punjab,8,12,0
1294,6976958,64,1,single,rented,no,Technical_writer,Phagwara,Punjab,1,13,0
1300,4074621,27,14,single,rented,yes,Civil_servant,Sonipat,Haryana,8,13,0
1319,3658284,57,0,single,rented,yes,Fashion_Designer,Jammu[16],Jammu_and_Kashmir,0,11,0
1321,850458,75,1,single,rented,no,Hotel_Manager,Ambala,Haryana,1,12,0
1325,7511554,53,4,single,rented,no,Design_Engineer,Amritsar,Punjab,4,11,0
1334,4470476,38,0,single,rented,yes,Analyst,Srinagar,Jammu_and_Kashmir,0,13,0
1342,4036559,64,1,single,rented,no,Financial_Analyst,Panipat,Haryana,1,12,0
1357,9639313,38,4,single,rented,yes,Lawyer,Yamunanagar,Haryana,4,14,1
1362,3142984,22,13,single,rented,no,Chef,Haridwar,Uttarakhand,10,12,1
1368,6814840,53,13,married,rented,no,Army_officer,Bhiwani,Haryana,3,11,0
1387,4555527,79,10,single,rented,no,Industrial_Engineer,Dehradun,Uttarakhand,3,11,0
1391,259809,34,0,single,rented,no,Biomedical_Engineer,Rohtak,Haryana,0,13,0
1409,1199926,43,11,single,rented,no,Scientist,Ludhiana,Punjab,9,14,0
1430,4515909,22,12,single,rented,yes,Chef,Sonipat,Haryana,7,13,0
1469,5824731,61,7,single,rented,yes,Financial_Analyst,Sirsa,Haryana,6,14,0
1477,4341353,78,6,single,norent_noown,yes,Petroleum_Engineer,Yamunanagar,Haryana,6,10,0
1493,6725891,25,11,single,owned,no,Graphic_Designer,Ambala,Haryana,11,14,0
1524,7499562,32,8,single,rented,no,Microbiologist,Patiala,Punjab,4,13,0
1531,4392708,28,1,single,rented,yes,Firefighter,Patiala,Punjab,1,10,0
1597,2989320,76,13,single,rented,no,Mechanical_engineer,Ludhiana,Punjab,9,14,0
1629,553772,38,19,single,rented,yes,Computer_operator,Ludhiana,Punjab,9,14,1
1645,5046744,63,17,single,rented,no,Aviator,Rohtak,Haryana,8,10,0
1676,8901524,72,17,single,rented,no,Secretary,Panipat,Haryana,4,12,0
1684,5830250,24,15,single,rented,yes,Web_designer,Haridwar,Uttarakhand,9,11,0
1691,6826034,56,14,single,rented,no,Surveyor,Bathinda,Punjab,5,11,0
1701,9680806,74,2,single,rented,no,Economist,Srinagar,Jammu_and_Kashmir,2,14,0
1709,9031360,74,20,single,rented,yes,Chartered_Accountant,Jalandhar,Punjab,10,10,0
1730,2377730,64,9,single,rented,no,Drafter,Patiala,Punjab,6,13,0
1748,1698802,71,3,single,rented,yes,Design_Engineer,Shimla,Himachal_Pradesh,3,14,0
1759,4439374,70,16,single,owned,yes,Comedian,Ambala,Haryana,14,10,0
1768,1556371,39,11,single,rented,no,Psychologist,Panchkula,Haryana,8,13,1
1772,8282569,62,9,single,rented,yes,Air_traffic_controller,Dehradun,Uttarakhand,5,12,0
1774,8593281,22,19,single,rented,no,Chef,Ambala,Haryana,11,11,1
1775,8978055,60,9,single,rented,no,Web_designer,Sirsa,Haryana,9,14,0
1783,3577693,46,4,married,rented,no,Technical_writer,Sonipat,Haryana,4,14,0
1787,54128,61,13,single,rented,no,Fashion_Designer,Ambala,Haryana,3,13,0
1813,8217682,67,10,single,norent_noown,yes,Computer_operator,Sirsa,Haryana,10,10,1
1821,7379284,24,12,single,rented,yes,Scientist,Gurgaon,Haryana,9,11,0
1859,9034541,68,4,single,rented,no,Firefighter,Patiala,Punjab,4,10,0
1872,1342169,37,16,single,rented,no,Comedian,Haridwar,Uttarakhand,8,12,0
1878,912537,27,20,single,rented,no,Flight_attendant,Bathinda,Punjab,11,11,0
1884,8654497,79,4,single,rented,no,Financial_Analyst,Bathinda,Punjab,4,13,0
1888,9665324,57,11,single,owned,no,Consultant,Dehradun,Uttarakhand,7,14,0
1913,779324,45,20,single,rented,no,Architect,Srinagar,Jammu_and_Kashmir,4,10,1
1914,1166694,66,3,single,rented,no,Flight_attendant,Phagwara,Punjab,3,14,0
1928,7076437,71,14,single,rented,no,Microbiologist,Jammu[16],Jammu_and_Kashmir,8,12,0
1930,2279438,65,3,single,rented,no,Secretary,Gurgaon,Haryana,3,10,0
1934,436140,73,13,single,rented,no,Petroleum_Engineer,Shimla,Himachal_Pradesh,11,10,0
1943,5365286,26,12,single,rented,yes,Design_Engineer,Patiala,Punjab,7,12,0
1948,1650754,78,8,single,rented,no,Designer,Faridabad,Haryana,8,12,0
1966,242890,78,12,single,rented,no,Scientist,Karnal,Haryana,3,10,0
1978,4751315,26,16,single,rented,yes,Army_officer,Rohtak,Haryana,10,12,0
1985,7979699,47,15,married,rented,yes,Computer_operator,Karnal,Haryana,10,13,0
1994,151700,33,20,single,rented,no,Politician,Patiala,Punjab,6,13,1
2010,5679259,78,17,single,rented,no,Official,Rohtak,Haryana,14,10,0
2027,5792043,71,6,single,norent_noown,yes,Graphic_Designer,Panipat,Haryana,6,11,1
2047,2822867,52,16,single,rented,no,Artist,Srinagar,Jammu_and_Kashmir,6,14,0
2049,5899823,46,8,married,rented,no,Architect,Faridabad,Haryana,8,13,0
2072,4281870,53,1,married,rented,no,Aviator,Bhiwani,Haryana,1,12,0
2084,9962662,79,19,single,rented,no,Microbiologist,Amritsar,Punjab,7,11,0
2102,600473,24,11,single,rented,no,Analyst,Faridabad,Haryana,6,14,1
2119,6913078,38,14,married,rented,no,Aviator,Sirsa,Haryana,3,14,0
2121,5047941,36,14,single,rented,no,Consultant,Jalandhar,Punjab,7,12,0
2178,550542,33,11,single,rented,no,Army_officer,Haridwar,Uttarakhand,4,13,0
2210,2586645,50,6,single,rented,no,Technical_writer,Gurgaon,Haryana,6,10,0
2226,732443,65,4,single,rented,no,Physician,Karnal,Haryana,4,14,0
2227,3582731,54,2,single,rented,no,Magistrate,Haridwar,Uttarakhand,2,14,0
2235,4745314,61,18,married,rented,no,Computer_operator,Rohtak,Haryana,4,14,0
2246,1369446,59,3,single,rented,no,Police_officer,Bathinda,Punjab,3,11,1
2251,3306272,60,3,single,owned,no,Police_officer,Sonipat,Haryana,3,13,0
2262,7644982,24,1,single,rented,no,Scientist,Faridabad,Haryana,1,11,1
2277,4829059,59,17,married,rented,no,Geologist,Phagwara,Punjab,11,13,0
2319,2240230,31,3,married,rented,no,Surveyor,Bhiwani,Haryana,3,12,0
2338,7724617,25,0,single,rented,no,Computer_hardware_engineer,Dehradun,Uttarakhand,0,13,0
2342,3671761,29,18,single,rented,yes,Scientist,Dehradun,Uttarakhand,3,14,0
2355,5486340,61,13,single,rented,no,Comedian,Jalandhar,Punjab,12,11,0
2377,9112796,27,5,single,rented,yes,Statistician,Haridwar,Uttarakhand,5,12,0
2423,7319293,40,6,single,rented,no,Designer,Phagwara,Punjab,4,14,0
2424,5659276,66,19,single,rented,no,Analyst,Patiala,Punjab,9,14,0
2429,291391,33,8,single,rented,no,Technical_writer,Bhiwani,Haryana,6,13,1
2449,882249,36,14,single,owned,no,Dentist,Phagwara,Punjab,12,13,1
2451,3117744,55,18,single,rented,no,Flight_attendant,Amritsar,Punjab,7,12,0
2462,8723870,71,16,single,rented,no,Analyst,Panchkula,Haryana,14,13,0
2482,6554261,44,12,single,rented,no,Consultant,Panchkula,Haryana,12,10,0
2503,659529,60,10,single,rented,no,Civil_engineer,Srinagar,Jammu_and_Kashmir,8,10,0
2505,3689673,43,11,single,rented,no,Librarian,Gurgaon,Haryana,11,13,0
2508,1877926,52,16,single,rented,no,Fashion_Designer,Bhiwani,Haryana,14,13,0
2518,7171033,68,19,married,rented,no,Computer_operator,Jalandhar,Punjab,4,10,0
2533,6108808,76,16,married,rented,no,Computer_hardware_engineer,Panipat,Haryana,3,12,0
2537,6563391,42,9,married,rented,no,Mechanical_engineer,Faridabad,Haryana,9,12,0
2545,3106207,66,6,single,rented,no,Petroleum_Engineer,Sirsa,Haryana,4,10,0
2562,8801912,33,16,married,rented,no,Flight_attendant,Gurgaon,Haryana,9,14,0
2581,1589605,46,13,single,rented,no,Architect,Ambala,Haryana,9,10,1
2625,2153305,21,11,single,rented,yes,Computer_hardware_engineer,Shimla,Himachal_Pradesh,11,14,0
2641,6588127,76,5,single,rented,no,Technician,Bhiwani,Haryana,5,10,1
2649,6010140,75,15,single,rented,yes,Fashion_Designer,Jalandhar,Punjab,9,10,1
2682,7058393,68,11,single,rented,no,Industrial_Engineer,Panipat,Haryana,11,11,0
2692,3125040,56,12,single,rented,no,Drafter,Sirsa,Haryana,11,13,0
2703,3917443,27,4,single,rented,no,Geologist,Amritsar,Punjab,4,13,0
2714,8249799,42,19,single,rented,no,Web_designer,Panipat,Haryana,12,10,0
2725,8817634,22,1,single,rented,no,Petroleum_Engineer,Jalandhar,Punjab,1,14,0
2740,1612818,79,10,single,rented,no,Lawyer,Sonipat,Haryana,10,11,1
2764,66912,27,10,married,rented,no,Software_Developer,Jalandhar,Punjab,10,14,0
2770,7779778,27,11,single,rented,no,Engineer,Rohtak,Haryana,8,12,0
2776,4275801,78,8,married,rented,yes,Computer_hardware_engineer,Amritsar,Punjab,3,11,0
2778,3671933,78,18,single,rented,no,Financial_Analyst,Ambala,Haryana,12,12,0
2780,3599124,47,2,single,rented,yes,Psychologist,Panchkula,Haryana,2,14,0
2808,1020342,37,14,single,rented,no,Official,Bhiwani,Haryana,9,11,0
2841,170128,29,17,single,rented,no,Analyst,Ambala,Haryana,12,12,0
2867,3816048,55,1,single,rented,no,Chemical_engineer,Sirsa,Haryana,1,14,0
2873,2549997,51,15,married,rented,no,Statistician,Faridabad,Haryana,13,14,0
2881,3204106,27,17,single,rented,no,Magistrate,Ludhiana,Punjab,7,12,0
2915,4145448,50,4,single,rented,no,Official,Srinagar,Jammu_and_Kashmir,4,12,1
2941,2003507,61,5,single,rented,no,Dentist,Faridabad,Haryana,3,10,0
2970,8856107,53,20,single,rented,no,Civil_engineer,Panchkula,Haryana,8,12,0
3007,8019114,73,17,single,rented,no,Artist,Srinagar,Jammu_and_Kashmir,9,14,0
3015,7750486,43,10,single,rented,no,Designer,Haridwar,Uttarakhand,10,10,0
3018,9202245,74,16,single,rented,yes,Financial_Analyst,Sirsa,Haryana,13,12,0
3048,4190150,31,4,single,rented,no,Air_traffic_controller,Phagwara,Punjab,4,12,1
3060,5737594,26,11,single,rented,no,Lawyer,Gurgaon,Haryana,10,12,1
3107,8502580,66,5,single,rented,yes,Chemical_engineer,Sonipat,Haryana,5,10,0
3118,8165921,51,20,single,rented,no,Chartered_Accountant,Karnal,Haryana,11,14,0
3120,1902407,68,11,single,rented,no,Design_Engineer,Bathinda,Punjab,11,10,0
3129,6758342,33,3,single,rented,no,Comedian,Patiala,Punjab,3,11,0
3133,326917,31,20,single,rented,no,Industrial_Engineer,Dehradun,Uttarakhand,11,10,0
3151,962072,25,14,single,rented,yes,Consultant,Phagwara,Punjab,4,11,0
3165,729340,57,13,single,rented,no,Lawyer,Dehradun,Uttarakhand,13,10,0
3170,3169984,29,1,single,rented,no,Politician,Haridwar,Uttarakhand,1,11,0
3179,6000177,70,1,single,rented,no,Hotel_Manager,Faridabad,Haryana,1,14,0
3193,7982817,60,6,single,rented,yes,Psychologist,Bhiwani,Haryana,5,14,0
3204,7360578,26,6,married,rented,yes,Scientist,Faridabad,Haryana,6,10,0
3234,7089126,76,14,single,rented,no,Engineer,Panchkula,Haryana,5,12,0
3240,1739250,29,3,single,rented,no,Psychologist,Bhiwani,Haryana,3,11,0
3245,3316589,76,6,single,rented,no,Police_officer,Gurgaon,Haryana,3,14,0
3248,582273,64,14,single,rented,no,Dentist,Karnal,Haryana,3,13,0
3251,5347851,73,18,single,rented,no,Dentist,Jammu[16],Jammu_and_Kashmir,8,10,0
3253,7757947,62,5,single,rented,no,Air_traffic_controller,Shimla,Himachal_Pradesh,4,13,1
3255,7273604,27,9,single,rented,yes,Chemical_engineer,Faridabad,Haryana,9,14,0
3286,5920246,75,13,single,rented,yes,Technology_specialist,Bathinda,Punjab,13,13,0
3307,8342442,30,17,single,rented,no,Chemical_engineer,Jammu[16],Jammu_and_Kashmir,11,10,1
3336,9312068,23,0,single,rented,no,Industrial_Engineer,Panipat,Haryana,0,11,0
3366,7128746,79,4,single,rented,no,Magistrate,Amritsar,Punjab,4,11,0
3370,1200485,63,16,single,owned,no,Industrial_Engineer,Gurgaon,Haryana,4,14,0
3373,1410169,29,17,single,rented,no,Biomedical_Engineer,Ludhiana,Punjab,5,13,0
3379,2582117,54,11,single,rented,yes,Architect,Karnal,Haryana,3,14,1
3395,2577341,48,7,single,rented,yes,Software_Developer,Sirsa,Haryana,7,11,0
3406,383685,58,4,single,rented,no,Lawyer,Panchkula,Haryana,4,10,0
3421,9604465,45,12,married,rented,yes,Designer,Shimla,Himachal_Pradesh,6,12,0
3423,8996000,75,14,single,rented,yes,Air_traffic_controller,Srinagar,Jammu_and_Kashmir,9,11,0
3446,5828170,66,17,single,rented,no,Petroleum_Engineer,Ludhiana,Punjab,14,14,0
3449,8047392,61,2,single,rented,no,Graphic_Designer,Phagwara,Punjab,2,14,1
3481,1350358,39,11,single,rented,no,Librarian,Gurgaon,Haryana,11,14,0
3483,4220551,79,1,single,rented,no,Surveyor,Gurgaon,Haryana,1,14,0
3488,3301023,33,16,married,rented,no,Police_officer,Panchkula,Haryana,4,11,0
3518,6597082,50,10,single,rented,yes,Magistrate,Jammu[16],Jammu_and_Kashmir,3,11,0
3524,6370366,59,2,single,rented,yes,Graphic_Designer,Yamunanagar,Haryana,2,13,0
3541,2602671,59,2,single,rented,yes,Design_Engineer,Bathinda,Punjab,2,11,0
3542,4055817,39,14,single,rented,no,Drafter,Gurgaon,Haryana,4,14,0
3567,7234302,31,1,single,rented,no,Chef,Haridwar,Uttarakhand,1,11,0
3571,1489858,24,16,single,owned,yes,Lawyer,Phagwara,Punjab,11,14,0
3576,790606,32,8,single,norent_noown,yes,Architect,Dehradun,Uttarakhand,8,12,0
3584,2487718,24,12,single,owned,no,Police_officer,Ludhiana,Punjab,10,11,0
3623,6466004,66,16,single,rented,yes,Petroleum_Engineer,Phagwara,Punjab,11,13,0
3653,8344782,77,16,single,rented,no,Scientist,Rohtak,Haryana,12,10,0
3656,9282657,57,17,single,rented,no,Web_designer,Sonipat,Haryana,3,14,0
3662,6569934,72,9,single,rented,yes,Comedian,Panipat,Haryana,3,14,1
3678,5874168,39,12,single,rented,no,Drafter,Ludhiana,Punjab,10,14,1
3685,3267322,37,9,single,rented,yes,Statistician,Gurgaon,Haryana,9,10,0
3717,4325297,26,19,single,rented,no,Comedian,Jalandhar,Punjab,11,10,0
3770,874408,47,18,single,rented,no,Chef,Bhiwani,Haryana,3,11,0
3781,972023,37,6,single,rented,yes,Designer,Yamunanagar,Haryana,5,11,1
3813,1232691,43,9,single,rented,yes,Mechanical_engineer,Srinagar,Jammu_and_Kashmir,9,11,0
3825,1779655,74,8,single,rented,no,Technician,Yamunanagar,Haryana,7,12,0
3855,1230362,67,7,single,rented,no,Software_Developer,Haridwar,Uttarakhand,7,10,0
3856,4643972,36,9,single,rented,no,Flight_attendant,Sonipat,Haryana,3,13,0
3861,1696344,31,18,single,rented,no,Librarian,Amritsar,Punjab,13,10,0
3879,7083559,52,10,single,rented,no,Computer_operator,Bathinda,Punjab,5,13,0
3893,4212878,28,10,single,rented,yes,Chemical_engineer,Patiala,Punjab,7,14,0
3897,3423010,74,3,single,rented,yes,Computer_hardware_engineer,Dehradun,Uttarakhand,3,10,0
3900,78418,35,18,single,rented,no,Air_traffic_controller,Bathinda,Punjab,12,12,0
3908,7773050,59,19,single,rented,no,Magistrate,Phagwara,Punjab,3,12,0
3920,6982803,38,17,single,rented,no,Consultant,Bathinda,Punjab,5,11,0
3968,5879597,46,17,single,rented,no,Graphic_Designer,Bathinda,Punjab,9,11,0
3993,8321716,58,10,single,rented,no,Mechanical_engineer,Jammu[16],Jammu_and_Kashmir,4,13,0
4041,6325513,69,15,single,rented,yes,Army_officer,Yamunanagar,Haryana,4,11,0
4059,2861281,25,19,single,rented,no,Air_traffic_controller,Sirsa,Haryana,5,12,0
4069,5176250,42,14,single,rented,no,Analyst,Bhiwani,Haryana,6,14,0
4116,8257194,48,8,single,rented,no,Official,Panipat,Haryana,8,10,0
4151,9878857,32,16,single,rented,yes,Chemical_engineer,Sirsa,Haryana,11,12,1
4155,7127792,36,8,single,norent_noown,no,Computer_hardware_engineer,Yamunanagar,Haryana,8,13,0
4171,2848384,77,19,single,rented,no,Computer_operator,Shimla,Himachal_Pradesh,5,10,0
4187,6718459,66,0,single,rented,yes,Chemical_engineer,Faridabad,Haryana,0,12,0
4189,4973814,24,19,single,rented,no,Computer_operator,Amritsar,Punjab,6,12,1
4201,2385302,69,10,single,rented,yes,Secretary,Panipat,Haryana,8,13,1
4212,3830939,53,3,single,rented,yes,Chef,Sonipat,Haryana,3,11,0
4229,743219,54,5,single,owned,no,Statistician,Haridwar,Uttarakhand,5,12,1
4260,9739777,22,18,single,rented,no,Firefighter,Panipat,Haryana,4,10,0
4271,4195478,52,12,single,owned,no,Aviator,Panipat,Haryana,5,13,0
4291,5524586,67,7,single,rented,no,Technical_writer,Karnal,Haryana,7,12,0
4292,338634,72,13,single,rented,yes,Technology_specialist,Srinagar,Jammu_and_Kashmir,8,12,0
4298,6127106,72,7,single,rented,no,Mechanical_engineer,Faridabad,Haryana,7,12,0
4307,12608,64,19,single,norent_noown,no,Physician,Dehradun,Uttarakhand,5,11,0
4315,7415733,25,0,single,rented,no,Hotel_Manager,Gurgaon,Haryana,0,12,0
4327,8489881,34,4,married,rented,no,Designer,Jalandhar,Punjab,4,12,0
4331,226629,53,18,single,rented,no,Psychologist,Sirsa,Haryana,12,11,0
4345,3412690,66,13,single,rented,no,Hotel_Manager,Amritsar,Punjab,11,14,0
4354,5639383,37,5,single,rented,no,Civil_engineer,Sonipat,Haryana,4,12,1
4362,6606244,33,8,single,rented,no,Flight_attendant,Bhiwani,Haryana,8,13,0
4363,1969961,51,9,married,rented,yes,Dentist,Amritsar,Punjab,9,12,0
4399,4139062,31,11,single,rented,no,Industrial_Engineer,Sonipat,Haryana,11,13,0
4426,570560,60,9,single,rented,no,Computer_operator,Panchkula,Haryana,4,13,0
4493,2096865,23,11,single,rented,no,Drafter,Dehradun,Uttarakhand,11,12,0
4501,9556585,29,1,single,rented,no,Drafter,Ludhiana,Punjab,1,10,0
4503,3803419,61,16,married,rented,no,Aviator,Sonipat,Haryana,11,12,0
4523,5121883,32,7,married,rented,no,Lawyer,Ludhiana,Punjab,5,12,0
4531,6105859,44,18,single,rented,no,Design_Engineer,Shimla,Himachal_Pradesh,10,14,0
4559,4570845,47,3,single,rented,no,Web_designer,Srinagar,Jammu_and_Kashmir,3,14,1
4567,80183,72,4,single,rented,yes,Financial_Analyst,Srinagar,Jammu_and_Kashmir,4,13,1
4568,2175094,29,4,single,rented,yes,Economist,Srinagar,Jammu_and_Kashmir,4,11,0
4570,8234198,54,16,single,rented,no,Aviator,Yamunanagar,Haryana,3,13,0
4595,8064081,55,18,single,rented,yes,Software_Developer,Bhiwani,Haryana,9,14,0
4627,6382731,51,8,single,rented,yes,Surveyor,Dehradun,Uttarakhand,5,11,0
4638,3342118,78,9,single,rented,no,Biomedical_Engineer,Haridwar,Uttarakhand,6,11,0
4644,8305013,45,0,single,rented,no,Statistician,Dehradun,Uttarakhand,0,11,0
4649,8170612,62,3,single,rented,no,Politician,Bathinda,Punjab,3,12,0
4660,281081,29,17,single,rented,no,Physician,Ambala,Haryana,6,13,0
4661,5720531,43,12,single,rented,no,Financial_Analyst,Dehradun,Uttarakhand,7,11,0
4673,4016035,35,19,single,rented,no,Police_officer,Patiala,Punjab,3,11,0
4716,7708426,42,14,single,rented,no,Industrial_Engineer,Sirsa,Haryana,7,13,0
4719,5510241,78,14,single,rented,yes,Psychologist,Patiala,Punjab,11,11,0
4731,6666406,79,4,single,rented,no,Graphic_Designer,Rohtak,Haryana,4,12,0
4749,2391997,69,19,single,rented,no,Magistrate,Sirsa,Haryana,6,11,1
4759,1766902,30,14,single,rented,no,Police_officer,Amritsar,Punjab,8,13,0
4794,2730986,35,10,single,rented,no,Web_designer,Panchkula,Haryana,4,14,0
4795,5732813,54,2,single,rented,yes,Geologist,Karnal,Haryana,2,13,0
4826,7770002,25,3,single,owned,yes,Technology_specialist,Ambala,Haryana,3,13,0
4837,2400228,24,1,single,rented,yes,Technology_specialist,Bhiwani,Haryana,1,12,0
4846,5236105,23,7,married,rented,no,Web_designer,Shimla,Himachal_Pradesh,7,13,0
